,total_cup_points,species,variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,moisture,altitude_mean_meters,cupper_points,color,country_code
87,85.17,Arabica,Caturra,Guatemala,Washed / Wet,2012,8.25,8,7.67,7.92,7.75,7.67,10,10,10,0,1400,7.92,Green,320
88,85.08,Arabica,Other,Ethiopia,Natural / Dry,2016,7.75,8,7.58,8,8,7.92,10,10,10,0.11,1200,7.83,Green,231
89,85.08,Arabica,Caturra,Colombia,Natural / Dry,2015,8.17,7.83,7.58,8.08,8,7.75,10,10,10,0,2560,7.67,Green,170
90,85.08,Arabica,Caturra,Ethiopia,Natural / Dry,2014,8.42,8,7.42,8,7.92,7.92,9.33,10,10,0.1,1700,8.08,Green,231
92,85.08,Arabica,Caturra,Colombia,Natural / Dry,2012,7.83,8,7.75,7.75,7.83,7.83,10,10,10,0.11,2136,8.08,Green,170
94,85.08,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.67,8,7.83,8,7.92,7.83,10,10,10,0,1200,7.83,Green,231
96,85.00,Arabica,Others,Uganda,Washed / Wet,2016,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,0.11,1800,8,Green,800
97,85.00,Arabica,Caturra,Colombia,Washed / Wet,2016,8,7.92,7.75,7.92,7.75,7.83,10,10,10,0,1200,7.83,Green,170
98,85.00,Arabica,Catuai,Costa Rica,Washed / Wet,2016,7.83,8,7.58,7.92,7.92,7.83,10,10,10,0.12,1900,7.92,Green,188
99,85.00,Arabica,Typica,Mexico,Washed / Wet,2015,7.83,8,7.83,7.75,7.67,7.83,10,10,10,0.09,1300,8.08,Green,484
100,85.00,Arabica,Caturra,Kenya,Washed / Wet,2015,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,0.11,1,7.83,Green,404
101,85.00,Arabica,Others,Kenya,Washed / Wet,2012,7.75,7.83,7.75,8.08,8,7.75,10,10,10,0,1580,7.83,Green,404
102,85.00,Arabica,Mundo Novo,Brazil,Natural / Dry,2012,8,8,7.83,7.83,7.67,7.67,10,10,10,0.12,1100,8,Green,76
103,85.00,Arabica,Others,Mexico,Washed / Wet,2011,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,0,1400,7.83,Green,484
105,85.00,Arabica,Caturra,Guatemala,Washed / Wet,2010,7.83,8.08,7.67,8,7.75,7.67,10,10,10,0.04,1325.88,8,Green,320
106,84.92,Arabica,Caturra,Colombia,Washed / Wet,2016,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,0,1200,7.83,Green,170
107,84.92,Arabica,Caturra,Colombia,Washed / Wet,2015,7.92,7.83,7.75,7.83,7.75,8,10,10,10,0.12,1775,7.83,Green,170
110,84.92,Arabica,Caturra,Colombia,Washed / Wet,2012,7.75,7.92,7.83,7.75,7.75,8,10,10,10,0.11,1775,7.92,Green,170
111,84.92,Arabica,Typica,Mexico,Semi-washed / Semi-pulped,2012,7.75,8,7.75,7.83,7.5,7.92,10,10,10,0.11,1200,8.17,Green,484
112,84.92,Arabica,Bourbon,Brazil,Natural / Dry,2011,8,7.92,7.75,7.75,8,7.75,10,10,10,0.11,1200,7.75,Green,76
113,84.92,Arabica,Catuai,Brazil,Natural / Dry,2011,8,8,7.75,8,7.5,7.75,10,10,10,0.12,1000,7.92,Green,76
114,84.92,Arabica,Caturra,Kenya,Washed / Wet,2010,8,7.67,7.83,8.17,7.92,7.75,10,10,10,0.06,1200,7.58,Green,404
116,84.83,Arabica,Others,Uganda,Natural / Dry,2013,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,0.12,1650,7.83,Green,800
118,84.83,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,0.1,1750,8,Green,231
119,84.83,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.42,7.92,7.92,8,7.83,7.83,10,10,10,0.1,1750,7.92,Green,231
120,84.75,Arabica,Caturra,Thailand,Pulped natural / honey,2015,7.75,7.75,7.75,7.75,8,7.75,10,10,10,0.12,1200,8,Green,764
121,84.75,Arabica,Others,Kenya,Washed / Wet,2014,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,0.13,1800,7.92,Green,404
122,84.75,Arabica,Catuai,Honduras,Washed / Wet,2014,7.83,7.75,8,7.67,7.67,7.67,10,10,10,0.11,1450,8.17,Green,340
123,84.75,Arabica,Caturra,El Salvador,Washed / Wet,2011,7.75,8,8,8.33,7.67,7.92,10,10,9.33,0.15,1200,7.75,Green,222
124,84.75,Arabica,Caturra,Nicaragua,Washed / Wet,2010,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,0.18,925,8.5,Green,558
125,84.67,Arabica,Bourbon,El Salvador,Washed / Wet,2016,7.83,7.83,7.5,8,7.83,7.67,10,10,10,0,1350,8,Blue-Green,222
126,84.67,Arabica,Others,Indonesia,Washed / Wet,2016,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,0.12,1200,7.92,Green,360
127,84.67,Arabica,Mundo Novo,Japan,Pulped natural / honey,2012,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,0.12,170,8.08,Green,392
128,84.67,Arabica,Catuai,Costa Rica,Washed / Wet,2015,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,0.1,1150,7.92,Blue-Green,188
129,84.67,Arabica,Bourbon,Guatemala,Washed / Wet,2015,7.75,7.83,7.58,8,7.92,7.75,10,10,10,0.1,1600,7.83,Green,320
130,84.67,Arabica,Caturra,Costa Rica,Washed / Wet,2014,8.17,8,7.83,7.17,7.83,7.75,10,10,10,0.12,1750,7.92,Green,188
131,84.67,Arabica,Others,Ethiopia,Washed / Wet,2014,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,0.1,1900,7.92,Green,231
132,84.67,Arabica,Other,Costa Rica,Other,2014,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,0.08,1750,7.67,Green,188
133,84.67,Arabica,Catuai,Costa Rica,Washed / Wet,2014,8,7.58,7.83,7.75,7.75,7.75,10,10,10,0.11,1200,8,Green,188
134,84.67,Arabica,Caturra,Costa Rica,Washed / Wet,2012,8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,0,1200,7.92,Green,188
136,84.67,Arabica,Caturra,Colombia,Washed / Wet,2013,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,0,1550,7.92,Green,170
137,84.67,Arabica,Others,Kenya,Washed / Wet,2012,7.75,7.92,7.83,8,7.58,7.75,10,10,10,0.11,2000,7.83,Bluish-Green,404
138,84.67,Arabica,Bourbon,Guatemala,Washed / Wet,2012,8,7.83,7.67,7.83,7.67,8,10,10,10,0.11,1310.64,7.67,Green,320
139,84.67,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.67,7.83,7.67,8,7.67,7.83,10,10,10,0.12,1524,8,Green,320
140,84.67,Arabica,Typica,Mexico,Washed / Wet,2012,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,0.13,1200,7.92,Green,484
141,84.67,Arabica,Other,Uganda,Washed / Wet,2012,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,0.11,1775,7.83,Blue-Green,800
142,84.67,Arabica,Caturra,Peru,Washed / Wet,2012,7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,0,1200,7.92,Green,604
143,84.67,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.42,7.75,7.75,8,8,7.92,10,10,10,0.2,1750,7.83,Green,231
144,84.58,Arabica,Others,Kenya,Washed / Wet,2012,7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,0.11,1754,7.83,Blue-Green,404
145,84.58,Arabica,Other,Colombia,Washed / Wet,2016,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,0,1500,8.08,Blue-Green,170
146,84.58,Arabica,Caturra,Colombia,Washed / Wet,2016,7.92,7.83,7.58,8,7.83,7.67,10,10,10,0,1200,7.75,Green,170
147,84.58,Arabica,Others,Kenya,Washed / Wet,2013,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,0.1,1800,7.92,Bluish-Green,404
148,84.58,Arabica,Others,Guatemala,Washed / Wet,2014,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,0.11,1524,7.83,Green,320
149,84.58,Arabica,Bourbon,Guatemala,Washed / Wet,2014,8,7.92,7.67,7.58,7.58,7.67,10,10,10,0.09,1219.2,8.17,Green,320
150,84.58,Arabica,Caturra,Colombia,Washed / Wet,2013,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,0,1550,7.83,Green,170
151,84.58,Arabica,Caturra,Colombia,Washed / Wet,2013,7.75,7.75,7.83,7.75,7.58,8,10,10,10,0,1750,7.92,Green,170
152,84.58,Arabica,Others,Kenya,Washed / Wet,2013,7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,0,1200,7.75,Green,404
153,84.58,Arabica,Caturra,Colombia,Washed / Wet,2012,7.67,7.83,7.83,8,7.58,7.92,10,10,10,0,1750,7.75,Green,170
154,84.58,Arabica,Bourbon,Costa Rica,Semi-washed / Semi-pulped,2012,7.75,7.83,7.75,8,7.83,7.67,10,10,10,0.12,1575,7.75,Bluish-Green,188
155,84.58,Arabica,Caturra,Colombia,Washed / Wet,2012,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,0.11,1800,8.08,Green,170
156,84.58,Arabica,Bourbon,Brazil,Semi-washed / Semi-pulped,2011,8,8,7.75,7.75,7.58,7.75,10,10,10,0.12,1300,7.75,Green,76
157,84.58,Arabica,Catuai,Brazil,Semi-washed / Semi-pulped,2011,8.5,8,7.5,7.75,7.5,7.83,10,10,10,0.11,1100,7.5,Blue-Green,76
158,84.50,Arabica,Caturra,Costa Rica,Washed / Wet,2018,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,0.1,1200,8,Bluish-Green,188
159,84.50,Arabica,Others,Uganda,Washed / Wet,2016,7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,0.11,1750,7.83,Green,800
160,84.50,Arabica,Others,China,Washed / Wet,2015,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,0.1,1680,7.92,Green,156
161,84.50,Arabica,Caturra,Costa Rica,Washed / Wet,2014,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,0.11,1700,7.92,Green,188
162,84.50,Arabica,Other,Colombia,Washed / Wet,2016,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,0.12,1800,7.75,Green,170
163,84.50,Arabica,Other,China,Washed / Wet,2013,7.67,8,7.75,7.83,7.75,7.58,10,10,10,0,1100,7.92,Green,156
164,84.50,Arabica,Bourbon,Guatemala,Washed / Wet,2013,8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,0.11,1310.64,7.5,Green,320
165,84.50,Arabica,Others,Kenya,Washed / Wet,2012,7.92,7.83,7.67,8,7.67,7.75,10,10,10,0.11,2000,7.67,Blue-Green,404
166,84.50,Arabica,Typica,Mexico,Washed / Wet,2012,8,7.92,7.42,8.08,7.5,7.67,10,10,10,0.12,1350,7.92,Green,484
167,84.50,Arabica,Typica,Mexico,Washed / Wet,2012,7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,0.11,1500,7.67,Green,484
168,84.50,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.67,8,7.67,8,7.5,7.83,10,10,10,0.11,1200,7.83,Green,320
169,84.50,Arabica,Caturra,Brazil,Washed / Wet,2012,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,0,1200,8.13,Green,76
170,84.50,Arabica,Caturra,Brazil,Washed / Wet,TEST,8.17,7.67,7.75,7.75,7.67,7.75,10,10,10,0,1200,7.75,Green,76
171,84.42,Arabica,Caturra,Costa Rica,Washed / Wet,2016,7.58,7.83,7.83,8,7.67,7.58,10,10,10,0.1,1300,7.92,Blue-Green,188
172,84.42,Arabica,Others,Indonesia,Other,2017,7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,0,1400,8,Blue-Green,360
173,84.42,Arabica,Caturra,Colombia,Natural / Dry,2016,7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,0,1200,7.67,Green,170
174,84.42,Arabica,Caturra,Colombia,Washed / Wet,2014,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,0,1775,7.75,Green,170
177,84.42,Arabica,Others,Mexico,Washed / Wet,2012,7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,0.12,900,7.83,Green,484
178,84.42,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.5,7.75,7.83,7.92,7.92,7.75,10,10,10,0.2,1200,7.75,Green,231
179,84.33,Arabica,Others,Kenya,Washed / Wet,2018,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,0.11,1800,8.17,Green,404
180,84.33,Arabica,Caturra,Honduras,Washed / Wet,2016,7.92,8,7.75,7.67,7.67,7.75,10,10,10,0.1,1500,7.58,Green,340
181,84.33,Arabica,Caturra,Colombia,Washed / Wet,2016,7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,0,1200,7.5,Green,170
182,84.33,Arabica,Catuai,Honduras,Washed / Wet,2016,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,0.11,1500,7.83,Green,340
183,84.33,Arabica,Caturra,Colombia,Washed / Wet,2016,7.67,7.67,7.75,7.83,7.75,7.83,10,10,10,0,1200,7.83,Green,170
184,84.33,Arabica,Caturra,Colombia,Natural / Dry,2015,7.75,7.67,8,7.67,8.08,7.83,10,10,10,0.11,442,7.33,Green,170
185,84.33,Arabica,Caturra,Colombia,Washed / Wet,2013,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,0,1800,8.17,Green,170
186,84.33,Arabica,Typica,Mexico,Washed / Wet,2012,8,7.75,7.75,7.83,7.5,7.67,10,10,10,0.12,1700,7.83,Blue-Green,484
187,84.33,Arabica,Yellow Bourbon,Brazil,Washed / Wet,2011,8.17,8,7.5,7.75,7.5,7.67,10,10,10,0,1275,7.75,Green,76
188,84.33,Arabica,Caturra,Brazil,Washed / Wet,2011,8,8,7.5,7.5,7.67,7.75,10,10,10,0.02,1050,7.92,Green,76
189,84.33,Arabica,Caturra,Ethiopia,Washed / Wet,2012,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,0,1493.52,7.75,Green,231
190,84.33,Arabica,Caturra,Guatemala,Washed / Wet,2009,7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,0.04,1386.84,7.92,Green,320
192,84.25,Arabica,Others,Thailand,Natural / Dry,2015,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,0.12,1200,8,Green,764
193,84.25,Arabica,Caturra,Colombia,Natural / Dry,2016,7.83,7.58,7.75,7.58,7.67,8,10,10,10,0.11,2560,7.83,Green,170
194,84.25,Arabica,Caturra,Guatemala,Washed / Wet,2016,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,0.11,1500,7.75,Green,320
195,84.25,Arabica,Caturra,Guatemala,Washed / Wet,2015,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,0.1,1099.4136,7.75,Green,320
196,84.25,Arabica,Others,China,Natural / Dry,2015,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,0.1,1400,7.75,Green,156
197,84.25,Arabica,Caturra,Colombia,Washed / Wet,2015,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,0.11,1775,7.83,Green,170
198,84.25,Arabica,Caturra,Colombia,Washed / Wet,2015,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,0.12,1775,7.75,Green,170
199,84.25,Arabica,Other,Colombia,Washed / Wet,2016,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,0.12,1800,7.83,Green,170
